semestre,predio,sala,tipo_sala,capacidade_turma,codigo_disciplina,turma,nome_disciplina,curso,dia_semana,hora_inicio,hora_fim,numero_periodos,vagas_oferecidas,vagas_totais_compartilhadas,turmas_compartilhando_sala
2026/2,Faculdade de Arquitetura - 12103,Sala 103,Sala de aula,16,ARQ01045,C,MAQUETES,ARQU,SEGUNDA-FEIRA,09:30,12:30,3,18,36,C/D
2026/2,Faculdade de Arquitetura - 12103,Sala 103,Sala de aula,16,ARQ01045,D,MAQUETES,ARQU,SEGUNDA-FEIRA,09:30,12:30,3,18,36,C/D
2026/2,Faculdade de Arquitetura - 12103,Sala 103,Sala de aula,16,ARQ01045,A,MAQUETES,ARQU,QUARTA-FEIRA,09:30,12:30,3,18,36,A/B
2026/2,Faculdade de Arquitetura - 12103,Sala 103,Sala de aula,16,ARQ01045,B,MAQUETES,ARQU,QUARTA-FEIRA,09:30,12:30,3,18,36,A/B
2026/2,Faculdade de Arquitetura - 12103,Sala 103,Sala de aula,16,ARQ03067,A,PRÁTICA INTEGRADA DE CRIAÇÃO II,DVIS,TERÇA-FEIRA,10:30,12:30,2,20,40,A/AA
2026/2,Faculdade de Arquitetura - 12103,Sala 103,Sala de aula,16,ARQ03067,A,PRÁTICA INTEGRADA DE CRIAÇÃO II,DPRO,TERÇA-FEIRA,10:30,12:30,2,20,40,A/AA
2026/2,Faculdade de Arquitetura - 12103,Sala 103,Sala de aula,16,ARQ03067,AA,PRÁTICA INTEGRADA DE CRIAÇÃO II,DVIS,TERÇA-FEIRA,10:30,12:30,2,20,40,A/AA
2026/2,Faculdade de Arquitetura - 12103,Sala 103,Sala de aula,16,ARQ03067,AA,PRÁTICA INTEGRADA DE CRIAÇÃO II,DPRO,TERÇA-FEIRA,10:30,12:30,2,20,40,A/AA
2026/2,Faculdade de Arquitetura - 12103,Sala 103,Sala de aula,16,ARQ03067,A,PRÁTICA INTEGRADA DE CRIAÇÃO II,DVIS,QUINTA-FEIRA,10:30,12:30,2,20,40,A/AA
2026/2,Faculdade de Arquitetura - 12103,Sala 103,Sala de aula,16,ARQ03067,A,PRÁTICA INTEGRADA DE CRIAÇÃO II,DPRO,QUINTA-FEIRA,10:30,12:30,2,20,40,A/AA
2026/2,Faculdade de Arquitetura - 12103,Sala 103,Sala de aula,16,ARQ03067,AA,PRÁTICA INTEGRADA DE CRIAÇÃO II,DVIS,QUINTA-FEIRA,10:30,12:30,2,20,40,A/AA
2026/2,Faculdade de Arquitetura - 12103,Sala 103,Sala de aula,16,ARQ03067,AA,PRÁTICA INTEGRADA DE CRIAÇÃO II,DPRO,QUINTA-FEIRA,10:30,12:30,2,20,40,A/AA
2026/2,Faculdade de Arquitetura - 12103,Sala 103,Sala de aula,16,ARQ03066,A,OFICINA DE MODELOS E PROTÓTIPOS,DVIS,SEGUNDA-FEIRA,13:30,17:30,4,12,24,A/AA
2026/2,Faculdade de Arquitetura - 12103,Sala 103,Sala de aula,16,ARQ03066,A,OFICINA DE MODELOS E PROTÓTIPOS,DPRO,SEGUNDA-FEIRA,13:30,17:30,4,12,24,A/AA
2026/2,Faculdade de Arquitetura - 12103,Sala 103,Sala de aula,16,ARQ03066,AA,OFICINA DE MODELOS E PROTÓTIPOS,DVIS,SEGUNDA-FEIRA,13:30,17:30,4,12,24,A/AA
2026/2,Faculdade de Arquitetura - 12103,Sala 103,Sala de aula,16,ARQ03066,AA,OFICINA DE MODELOS E PROTÓTIPOS,DPRO,SEGUNDA-FEIRA,13:30,17:30,4,12,24,A/AA
2026/2,Faculdade de Arquitetura - 12103,Sala 103,Sala de aula,16,ARQ03066,B,OFICINA DE MODELOS E PROTÓTIPOS,DVIS,SEXTA-FEIRA,13:30,17:30,4,12,24,B/BB
2026/2,Faculdade de Arquitetura - 12103,Sala 103,Sala de aula,16,ARQ03066,B,OFICINA DE MODELOS E PROTÓTIPOS,DPRO,SEXTA-FEIRA,13:30,17:30,4,12,24,B/BB
2026/2,Faculdade de Arquitetura - 12103,Sala 103,Sala de aula,16,ARQ03066,BB,OFICINA DE MODELOS E PROTÓTIPOS,DVIS,SEXTA-FEIRA,13:30,17:30,4,12,24,B/BB
2026/2,Faculdade de Arquitetura - 12103,Sala 103,Sala de aula,16,ARQ03066,BB,OFICINA DE MODELOS E PROTÓTIPOS,DPRO,SEXTA-FEIRA,13:30,17:30,4,12,24,B/BB
2026/2,Faculdade de Arquitetura - 12103,Sala 103,Sala de aula,16,ARQ03110,A,OFICINA DE MODELOS E PROTÓTIPOS II,DVIS,QUARTA-FEIRA,18:30,22:30,4,15,15,A
2026/2,Faculdade de Arquitetura - 12103,Sala 103,Sala de aula,16,ARQ03110,A,OFICINA DE MODELOS E PROTÓTIPOS II,DPRO,QUARTA-FEIRA,18:30,22:30,4,15,15,A
2026/2,Faculdade de Arquitetura - 12103,Sala 301A,Laboratório de Informática,20,ARQ03071,A,COMPUTAÇÃO GRÁFICA I,DVIS,SEGUNDA-FEIRA,07:30,09:30,2,15,15,A
2026/2,Faculdade de Arquitetura - 12103,Sala 301A,Laboratório de Informática,20,ARQ03071,A,COMPUTAÇÃO GRÁFICA I,DPRO,SEGUNDA-FEIRA,07:30,09:30,2,15,15,A
2026/2,Faculdade de Arquitetura - 12103,Sala 301A,Laboratório de Informática,20,ARQ03071,A,COMPUTAÇÃO GRÁFICA I,DVIS,QUARTA-FEIRA,07:30,09:30,2,15,15,A
2026/2,Faculdade de Arquitetura - 12103,Sala 301A,Laboratório de Informática,20,ARQ03071,A,COMPUTAÇÃO GRÁFICA I,DPRO,QUARTA-FEIRA,07:30,09:30,2,15,15,A
2026/2,Faculdade de Arquitetura - 12103,Sala 301A,Laboratório de Informática,20,ARQ03071,B,COMPUTAÇÃO GRÁFICA I,DVIS,SEGUNDA-FEIRA,09:30,11:30,2,20,20,B
2026/2,Faculdade de Arquitetura - 12103,Sala 301A,Laboratório de Informática,20,ARQ03071,B,COMPUTAÇÃO GRÁFICA I,DPRO,SEGUNDA-FEIRA,09:30,11:30,2,20,20,B
2026/2,Faculdade de Arquitetura - 12103,Sala 301A,Laboratório de Informática,20,ARQ03071,B,COMPUTAÇÃO GRÁFICA I,DVIS,QUARTA-FEIRA,09:30,11:30,2,20,20,B
2026/2,Faculdade de Arquitetura - 12103,Sala 301A,Laboratório de Informática,20,ARQ03071,B,COMPUTAÇÃO GRÁFICA I,DPRO,QUARTA-FEIRA,09:30,11:30,2,20,20,B
2026/2,Faculdade de Arquitetura - 12103,Sala 301A,Laboratório de Informática,20,ARQ01009,D,PROJETO ARQUITETÔNICO III,ARQU,QUINTA-FEIRA,09:30,12:30,3,15,15,D
2026/2,Faculdade de Arquitetura - 12103,Sala 301A,Laboratório de Informática,20,ARQ01009,D,PROJETO ARQUITETÔNICO III,ARQU,SEXTA-FEIRA,09:30,12:30,3,15,15,D
2026/2,Faculdade de Arquitetura - 12103,Sala 301A,Laboratório de Informática,20,ENG03040,U,SISTEMAS ESTRUTURAIS APLICADOS,DPRO,TERÇA-FEIRA,10:30,12:30,2,16,16,U
2026/2,Faculdade de Arquitetura - 12103,Sala 301A,Laboratório de Informática,20,ARQ03138,A,COMPUTAÇÃO GRÁFICA II: DESIGN DE PRODUTO,DVIS,SEGUNDA-FEIRA,13:30,15:30,2,20,20,A
2026/2,Faculdade de Arquitetura - 12103,Sala 301A,Laboratório de Informática,20,ARQ03138,A,COMPUTAÇÃO GRÁFICA II: DESIGN DE PRODUTO,DPRO,SEGUNDA-FEIRA,13:30,15:30,2,20,20,A
2026/2,Faculdade de Arquitetura - 12103,Sala 301A,Laboratório de Informática,20,ARQ03138,A,COMPUTAÇÃO GRÁFICA II: DESIGN DE PRODUTO,DVIS,QUARTA-FEIRA,13:30,15:30,2,20,20,A
2026/2,Faculdade de Arquitetura - 12103,Sala 301A,Laboratório de Informática,20,ARQ03138,A,COMPUTAÇÃO GRÁFICA II: DESIGN DE PRODUTO,DPRO,QUARTA-FEIRA,13:30,15:30,2,20,20,A
2026/2,Faculdade de Arquitetura - 12103,Sala 301A,Laboratório de Informática,20,ARQ01075,C1,REPRESENTAÇÃO GRÁFICA I,ARQU,SEXTA-FEIRA,13:30,16:30,3,12,12,C1
2026/2,Faculdade de Arquitetura - 12103,Sala 301A,Laboratório de Informática,20,ARQ02027,A,SISTEMAS DE INFORMAÇÕES GEOGRÁFICAS EM URBANISMO,ARQU,TERÇA-FEIRA,14:30,18:30,4,20,20,A
2026/2,Faculdade de Arquitetura - 12103,Sala 301A,Laboratório de Informática,20,ARQ01009,D,PROJETO ARQUITETÔNICO III,ARQU,TERÇA-FEIRA,18:30,22:30,4,15,15,D
2026/2,Faculdade de Arquitetura - 12103,Sala 301A,Laboratório de Informática,20,ARQ01075,C1,REPRESENTAÇÃO GRÁFICA I,ARQU,QUINTA-FEIRA,18:30,21:30,3,12,12,C1
